id,author,published_date,pseudonymized_body,pseudonymized_title,url
138,Cherry Ann Virador,"Sep 07, 2024","Nagduda si Lapu-Lapu City Mayor Joelito Abalos nga adunay bolok pamolotika ang mipakatap sa hulagway nga diha sa iyang tapad si Bansil Banta nga makita nagsul-ob og identification card (ID) sa City Hall. Kini maoy gibutyag sa Mayor nga nagtuo nga gi-edit ang maong picture nga kabahin sa ""smear campaign"" ilabi na nga nagkaduol ang piniliay, human nga gitawgan sa SunStar Cebu, Sabado, Septiyembre 7, 2024.“Sayon kaayo pag-edit sa picture. Di na tinuod, once again, di tinuod nga we issued government IDs for consultants,” pagklaro ni Abalos. Iyang giklaro nga wa mo-isyu og official nga identification cards ang Lapu-Lapu City government ngadto ni Bantad o ni bisan kinsa nga langyaw isip consultant ubos sa iyang administrasyon. Kahinumduman nga si Bantad lakip sa mga langyaw nga nadakpan atol sa gihimong pagronda sa gidudahan nga Philippine Offshore Gaming Operator (POGO) sa Barangay Agus, Lapu-Lapu City, niadtong Agusto 31. Si Bantad, uban sa laing 15 ka langyaw lakip na sa iyang anak ang nasikop. Dugang pa ni mayor Abalos gi-atol ang pagpakatap sa maong peke nga picture ilabi na nga nagsingabot ang piniliay ug siya nagduda nga ""politically motivated. "" “Hapit naman gud ang election maong daghan nang gawas nga mga fake photos og unsa pa na diha,” AbalosAron sa paghatag og katin-awan sa maong isyu ang mayor mihatag og kopya og dokomento lakip na ang suwat gikan sa Lapu-Lapu City nga Bids and Awards Committee (BAC). Ang maong suwat nagkanayon nga ang BAC way nadawat o ang pagproseso sa bisan unsa nga request alang sa consultancy services ni Bantad gikan niadtong Hulyo 2019 hangtod na karon. Laing suwat gikan sa Sangguniang Panlungsod mikonpirmar nga wa usab resolution nga gi-aprobahan nga nagtugot ni Abalos nga mosulod og consultancy contract tali Bantad sa susamang petsa. Gawas sa maong giingong edited nga picture, nitumaw sab ang litrato nga kuha niadtong 2020 nga nagpasalamat si Abalos ngadto ni Bantad sa gi-donate nga computer alang sa mga tunghaan ug sa buhatan sa kapulisan. Sa naunang taho sa SunStar Cebu, giangkon ni Abalos nga iyang nahimamat si Bantad sa iyang unang termino isip mayor niadtong 2019, dihang nidonar si Bantad og mga computer ug nanghatag og libreng internet connection sa usa ka tunghaan sa Barangay Pangan-an, Isla sa Olango. Samtang, giklaro ni Abalos nga ang tag-iya sa hotel resort nga gironda niadtong Agusto 31 wa mo-apply og legal POGO license sa siyudad. Dugang pa nagpadayon ang imbestigasyon, dili lang bahin sa nagpakatap nga litrato kon dili apil na ang mga nangaging insidente nga naglambigit sa mga tawo nga nagpaka aron ingnon nga traffic enforcer nga naggamit og peke nga ID. Iyang gisubli nga walay langyaw nga opisyal nga nahatagan sa maong identification card sa kagamhanan sa dakbayan, human niadtong nakuha sa mga awtoridad nga giingong government issued ID ni Bantad.",Abalos: Pagkatap sa kontrobersiyal nga picture online ‘pamolitika’,https://www.sunstar.com.ph/superbalita-cebu/chan-pagkatap-sa-kontrobersiyal-nga-picture-online-pamolitika
139,Arnold Y. Bustamante,"Sep 07, 2024","Usa ka ginang nga ang bugtong tuyo mao ang pagkuha og Philippine National Police (PNP) Clearance sa Mabolo Police Station ang giposasan, dihang nasuta nga naa diay ni pending warrant of arrest sa kaso nga qualified theft. Nahitabo ang pagdakop niadtong 4:50 sa hapon, Biyernes, Septiyembre 6, 2024 sulod sa Mabolo Police Station sa dalan J. Luna, Barangay Mabolo. Ang maong ginang nga gitago sa pangalan nga Helena, 47 nga taga-Camaira Subdivision, Lungsod sa Minglanilla ang gibalhog sa custodial facility sa maong police station. Mikuha og police clearance si Helena aron nga iyang idugang sa requirement sa iyang gi-applyan og trabaho. Matod ni Police Major Ruelan Aficionado Jr. , hepe sa Mabolo Police Station nga samtang naglukat og PNP Clearance si Helena migawas sa ilang record nga aduna kini'y pending warrant of arrest nga giluwatan si Judge Diosdado Bantilan Banzon Jr, acting Presiding Judge sa RTC Branch 28, Mandaue City, pinitsahan niadtong Agusto 2023 sa kasong qualified theft nga adunay piyansa nga P40,000. Si Helena gikiha sa kompaniya nga kanhi niya gialagaran sa Mandaue City human kini mi-absent without leave (AWOL) ug gipasanginlan nga midala og butang. Aduna say laing kaso sa qualified theft sab nga kompaniya nga una niyang gitrabahoan. Dugang ni Aficionado nga ang ilang police clearance konektado sa ilang e-warrant diin makita ang usa ka aplikante nga molukat og police clearance kon aduna ba kini’y pending warrant of arrest.","Milukat og police clearance, gidakop",https://www.sunstar.com.ph/superbalita-cebu/milukat-og-police-clearance-gidakop
140,Dario V. Gil,"Sep 07, 2024","Gibanabana nga mobalor ngadto sa P60,000 nga 300 ka mga punoan sa marijuana nga gipang-ibot atol sa gihimong pagronda sa gikatahong marijuana plantation sa Barangay Nalhub, Lungsod sa Dalaguete, Sugbo niadtong alas 8 sa buntag, Sabado, Septiyembre 7, 2024. Ang 703rd Maneuver Company sa Regional Mobile Force Battalion 7 nga gipangulohan sa ilahang commander nga si PLT Jervin B. Belciña ang mipahigayon sa raid sa naasoyng dapit. Nakompirmar sa kapulisan ang giingong marijuana plantation sa maong lugar ug ilaha kini nga gipang-ibot. Nasayran nga naka-ipsot ang mag-uuma nga maoy nananom sa marijuana atol sa pagsuwat ning balita gitago unsa sa kapulisan ang ngalan sa maong mag-uuma.",300 ka punoan sa Marijuana gipang-ibot,https://www.sunstar.com.ph/superbalita-cebu/300-ka-punoan-sa-marijuana-gipang-ibot
141,Arnold Y. Bustamante,"Sep 07, 2024","Subay sa hugot nga seguridad nga ipatuman sa kapulisan sa Dakbayan sa Sugbo atol sa Regionalized Bar Examination sa Dominggo, Septiyembre 8, 2024, hugtanong ipatuman ang liquor ban sa mga lugar nga nasulod sa 100 meter radius sa University of San Jose Recoletos (USJR) Basak Campus. Kini ubos sa Executive Order No. 17, s.2024 nga giluwatan ni Cebu City Acting Mayor Jhonnylou Ghen Abalayan. Magsugod ang liquor ban alas 12 sa tungang gabii sa Sabado, Septiyembre 7 ug matapos sa alas 11:59 sa gabii Domingo, Septembre 8, 2023. Susama sab ang ipatuman sa ikaduhang adlaw sa Bar Exam sa Miyerkules, Septiyembre 11 ug sa katapusang adlaw sa sunod Domingo, Septiyembre 15, 2024. Gawas sa liquor ban nga giluwatan sa buhatan sa acting mayor ila usab ipatuman ang Anti-Noise Ordinance. Gipahibawo sa Cebu City Police Office nga gidili ang pagpatukar og mga kanta, videoke ug kusog nga bosina sa mga sakyanan duol sa maong venue nga makatugaw sa bar examinees. Giawhag sa kapulisan ang mga panimalay ug mga tindahan sa palibot sa USJR Basak campus nga tumanon lang ang maong kamandoan sanglit dili man usab kini kanunay.",Liquor ban ipatuman duol sa USJR-Basak,https://www.sunstar.com.ph/superbalita-cebu/liquor-ban-ipatuman-duol-sa-usjr-basak
142,Arnold Y. Bustamante,"Sep 07, 2024","Duha ka andana nga balay nga gipanag-iya ni Gayle Banzuela nga gipaabangan ngadto ni Fructuosa Baquiran nga nahimutang sa Calle Azul, BC Homes Subdivision, Barangay Lahug, Siyudad sa Sugbo ang nasunog alas 8:18 sa buntag, Sabado, Septiyembre 7, 2024. Dali nga miresponde ang mga sakop sa Cebu City Fire Station nga giisa dayon ang sunog sa first alarm alas 8:23 sa buntag, human sa 12 ka minutos nakontrolar ang kayo ug wala makatapot sa silingang kabalayan. Gideklarar sa kabomberohan nga napawong ang kayo sa 8:42 sa buntag nga nagbilin og danyos nga P1,200,000. Wala na makakatap ang kayo sa tupad nga mga balay. Sa imbestigasyon sa Cebu City Fire Station nga adunay nag-okupar nga 17 ka tawo ug usa ka pamilya .Matod ni Fructuosa Baquiran, taga Bacolod City nga nahinabi sa DyHP nga nagsugod ang kayo sa gipangtapok nga styrofoam sa luyo sa balay gamiton sa paghimo og dekorasyon sa mga event nga sila maoy mohimo ug wala siya masayod kon unsay hinungdan. “Hindi ko alam kung ano ang nangyari bakit nasunog siya kasi natulog pa kami, nagulat nalang kami na may apoy na at nasusunog na ang bahay,” matod ni Fructuosa Baquiran. Nagpadayon pa ang Bureau of Fire Protection (BFP) sa ilang imbestigasyon kon unsay hinungdan sa pag ulbo sa kayo.","1 balay sa Brgy Lahug naugdaw, P1. 2M danyos",https://www.sunstar.com.ph/superbalita-cebu/1-balay-sa-brgy-lahug-naugdaw-p12m-danyos
143,Dario V. Gil,"Sep 07, 2024","Nakabsan sa ilang kinabuhi ang magtiayon nga sakay sa ilang motorsiklo human nga nagkabangga sa gikasugat niini nga dump truck sa highway sa Barangay Tajao, Lungsod sa Pinamungajan, Lalawigan sa Sugbo. Ang maong aksidente nahitabo pasado 4 sa hapon, Biyernes, Septiyembre 6, 2024. Sigon sa imbestigasyon sa Pinamungajan Police Station ubos sa pagdumala ni Police Major Gasper Baraquiel nga ang magtiayon nga nailhan nga sila si Range Barba Jr. , 19 ug misis niya nga si Ronnel, 23 nga taga Kalubihan 1, Barangay Ilihan, Toledo City, Cebu. Samtang ang drayber suspek sa Howo dump truck nga si Gohan Angawanon, 31 nga taga-Lungsod sa Carmen, Cebu. Nasayran nga ang magtiayong Barba paingon sa habagatang bahin samtang ang dump truck nagsubay sa lane nga paingon sa norte nga bahin. Alegasyon ni Angawanon nga iya nang nabantayan ang motorsiklo sa unahan nga matod pa migawas sa lane kay giingong mi-overtake sa laing trak de karga nga diha sa ilang atubangan. Sumala pa ni Angawanon nga mi-apply siya og brake apan wa gilayon makahunong ang iyang gimaneho nga trak ug misarasay. Naabtan ang motorsiklo hinungdan nga naigo ug nalabay ang motor ingon man ang mga sakay niini. Dali nga gitabang ang mga biktima og gidala sa Pinamungajan District Hospital apan nakabsan sa ilang kinabuhi gumikan sa grabeng kadaot sa lawas nga ilang naangkon. Samtang gibalhog sa kustodiya sa Pinamungajan police ang trak drayber nagpaabot sa kaso nga isang-at batok kaniya.","Motor, dump trak nagsungag; magtiayon patay",https://www.sunstar.com.ph/superbalita-cebu/motor-dump-trak-nagsungag-magtiayon-patay
146,Arnold Y. Bustamante,"Sep 06, 2024","Naposasan ang usa ka 44 anyos nga lalaki nga giila nga high value individual (HVI) human masikop sa buy-bust sa Mabolo Police Station 4 sa Cebu City Police Office (CCPO), alas 9:20 sa gabii, Miyerkules, Septiyembre 4, 2024, sa Sitio Malinaw, Barangay Carreta sa dakbayan sa Sugbo. Ang suspetsado mao si Rikoy Barbosa, 44, residente sa naasoy nga lugar, nakuhaan og mga pinakete sa gituohang shabu nga motimbang sa 75 gramos nga dunay standard drug price nga P511,360. Matod ni Police Major Ruelan Aficionado Jr. , hepe sa Mabolo Police Station, nga samtang nagpatrolya ang iyang personnel, naaktohan nila ang suspek nga namaligya kini'g ilegal nga drugas sa iyang kustomer. Dali nga nakadagan ang gibaligyaan apan nagunitan nila ang suspek nga si Barbosa. Nibutyag si Aficionado nga nadakpan na kaniadto ang suspek sa kaso gihapon sa ilegal nga drugas ug nalambigit usab kini sa pagpangawat sa maong dapit. ""Ilado siya kay kaso ni siya sauna, so, mao lagi na kung maka bargain ang uban mobalik lang pud gihapon,"" matod ni Aficionado. Kalapasan sa Section 11, Acticle II sa Republic Act 9165 o Comprehensive Dangerous Drugs Act of 2002 ang atubangon nga kaso sa suspek.",P.5M nga drugas nasakmit gikan sa HVI,https://www.sunstar.com.ph/superbalita-cebu/p5m-nga-drugas-nasakmit-gikan-sa-hvi
148,Cherry Ann Virador,"Sep 05, 2024","Gihatagan og atensyon sa state auditors ang kakulang sa gobyerno sa igong seguridad alang sa Cebu International Convention Center (CICC) nga nag-ingon nga kini sama sa dili maayong pagdumala sa mga kabtangan sa gobyerno. Sa 2023 audit report sa Commission on Audit (COA), giingon nga ang kakulang sa pagbantay sa City Government mahimong hinungdan sa pagpangawat sa mga parte ug gamit sa building, nga misangpot sa pag-usik sa mga kabtabangan nga gipanag-iya sa gobyerno. Gipasiugda sa audit report nga kini nga isyo nahisupak sa Seksyon 2 sa Presidential Decree No. 1445, nga nagdumala sa husto nga pagdumala sa mga kabtangan sa gobyerno. Ang CICC, nga kaniadto usa ka iladong landmark sa Siyudad, gipasagdan nga gubaon sulod sa pipila ka tuig ug giandam alang sa demolisyonApan, ang mga nakit-an sa COA nagpakita nga ang kakulang sa seguridad misamot sa kalisod sa building, tungod kay ang nagpadayon nga pagkawala sa mga kabtangan sa gobyerno nagdugang sa kadaot sa istruktura. Aron matubag ang isyo, girekomenda sa COA nga ang General Services Officer ug ang Chief sa Property Division magpahigayon og dali nga inspeksyon ug pag-assess sa kahimtang karon sa CICC. Gipanawagan usab nila ang usa ka halapad nga imbestigasyon aron masuta kung unsa nga mga bahin ang gipangawat ug ma-evaluate ang tibuok extent sa kadaot tungod sa kakulang sa seguridad. Gitambagan sa COA ang City Government nga palig-unon ang mga seguridad sa palibot sa CICC, nga naglambigit sa pagdugang og mga personnel aron mabantayan ang maong lugar. Gi-stress sa audit body nga samtang nagpaabot pa sa demolisyon, kinahanglan nga buhaton ang mga lakang aron maprotektahan ang nahibilin nga mga kabtangan aron malikayan ang dugang nga usik sa salapi sa kagamhanan. Sa tubag niini nga nakita sa COA, si Acting Vice Mayor Davinder Barcenas nagpasalig sa publiko nga adunay na’y mga lakang nga gibuhat aron maseguro ang seguridad sa maong lugar. Sa iyang pakighinabi sa mga reporter niadtong Huwebes, Septiyembre 5, 2024, giingon ni Barcenas nga giseguro na ang CICC ug wala na gitugotan ang mga informal settlers nga maka-access sa building. Gipasabot ni Barcenas nga human sa groundbreaking sa bag-ong one-stop-shop government center sa Agusto 29, ang WT Construction, ang contractor sa proyekto, gisugo sa pagbantay ug pag-monitor sa CICC premises. Ang demolisyon sa CICC ug ang pagtukod sa bag-ong pasilidad mipalihok usab sa mga 500 ka informal settlers, kadaghanan sa mga biktima sa sunog niadtong 2016 ug 2019, ngadto sa ubang mga housing facilities. Gipahimangnoan sa COA ang kahinungdanon sa husto nga pagdumala ug pagseguro sa mga kabtangan sa gobyerno labi na kadtong mga nagpaabot ug redevelopment. Samtang hapit na ang demolisyon, kinahanglan nga maampingan ug bantayan pag-ayo sa City Government nga walay dugang nga pagkawala nga mahitabo, labi na kay ang pagtukod sa bag-ong government center magsugod na diin nagpakita sa paningkamot sa Siyudad aron mapaayo ug molambo usab ang turismo pinaagi sa bag-ong sentro sa kagamhanan sa Mandaue.",COA: CICC gipasagdan lang sa Mandaue City,https://www.sunstar.com.ph/superbalita-cebu/coa-cicc-gipasagdan-lang-sa-mandaue-city
149,Dario V. Gil,"Sep 05, 2024","Usa ka hamtong na nga dolphin nga gibanabanang motimbang sa 50 kilos ang nakit-an nga patay na sa baybayon sa Barangay Madridejos, Lungsod sa Alegria, habagatang-kasadpan sa Sugbo, alas 2 sa hapon, Miyerkules, Septiyembre 4, 2024. Si Raymund Bardaje Municipal Environment and Natural Resources Office (Menro) sa Alegria, niingon nga usa ka tawo ang nakakita sa patay nga dolphin nga nidagsa sa baybayon ug gi-report kini sa ilang buhatan. Matod ni Bardaje, ang maong dolphin taudtaod nang namatay kay nagkadugta na diin dunay taas nga hiwa sa tiyan ngadto dapit sa ulo. Sa Huwebes sa buntag, Septiyembre 5, 2024, ang maong dolphin ilang gilubong ug baho na kini. Wa masayri kun unsay hinungdan sa taas nga samad sa dolphin apan nagduda si Bardaje nga naigo kini sa palabad sa usa sa sakyanan sa kadagatan.",Patay na nga dolphin midagsa sa baybayon,https://www.sunstar.com.ph/superbalita-cebu/patay-na-nga-dolphin-midagsa-sa-baybayon
150,Guam P. Logroño,"Sep 05, 2024","Napakgang ang suway nga paghikog sa 24 anyos nga mabdos sa dihang iyang gi-live stream ang iyang suway nga pagpakamatay pinaagi sa Facebook. Maayo na lang usa sa iyang higala ang naka-view sa maong live video ug dali nga nakapangayo og police assistance sa dihang nakita nga gibalikos na sa mabdos ang wire diha sa iyang liog. Ang insedente nahitabo Huwebes sa kadlawon, Septiyembre 5, 2024 sa Barangay Taytay, Danao City. Dali nga mirespondi ang Danao City police og natultolan ang gipuy-an sa maong mabdos ug naabtan sud sa giabangan nga lawak nga nagbitay ug wa nay panimuot. Ang maong wire nga gibaat sa liog, samtang ang tumoy nga bahin niini gitaod sa trusses sa kisame. Gidala sa Cebu Provincial Hospital, Danao City ang maong mabdos ug padayon pa nga gi-obserbahan sa mga mananambal. Ang kanhi kapuyo sa maong mabdos nga gitago sa pangalan nga Joe, 25 nga taga-Barangay Guinacot, Danao, nisaysay nga sukad niadtong Agusto sila nagkabuwag sa dihang iyang nasuta nga ang gisabak sa iyang live-in dili siya maoy amahan. Sa laing bahin, patay ang usa ka American national human nagpusil sa iyang ulo, 4:30 sa hapon, Miyerkules, Septiyembre 4, sa Sityo Tulang Ibabao, Barangay Esperanza, Lungsud sa San Francisco, isla sa Camotes. Giila nga si Alonte Tantan Bardoz, 73, patay dihadiha kinsa nakaangkon og samad pinusilan sa iyang ulo. Nasayran base sa pamahayag sa mga kabanay nga adunay gihambin nga sakit si Bardoz ug gikinahanglan nga ipaubos sa operasyon. Sa wa pa ang pagpusil nianang pagkabuntag suway kining molayat gikan sa ilang rooftop apan napakgang sa iyang pamilya. Nianang pagkahapon nakadungog ang pamilya og duha ka buto sa armas ug sa dihang gisusi sa terrace nahagba na si Bardoz nga wa nay kinabuhi nga adunay samad sa iyang tampihak. Nahipos sa kapulisan ang caliber .40 pistol duha ka basiyo nga bala ug extra nga tulo ka magazine nga puno sa mga bala duol sa nahimutangan sa maong langyaw. Gituohan nga sa unang buto nagpasalba sa armas si Bardoz dayon punting sa armas tumong sa iyang ulo, ang pamilya kumbinsido nga way foul play ang hitabo.","Mabdos misuway’g hikog, gibiyaan sa iyang kapuyo",https://www.sunstar.com.ph/superbalita-cebu/mabdos-misuwayg-hikog-gibiyaan-sa-iyang-kapuyo
151,Denise Mae P. Codis,"Sep 04, 2024","Gibiyahe paingon sa kaulohan kadtong 169 ka mga langyaw nga gipasakahan og kaso nga nanarbaho dinhi sa nasod nga way mga dokumento ug wa sab silay mga Visa, Martes, Septiyembre 4, 2024, diin sila mag-atubang og mga kaso ug deportation proceedings. Gikuha ang mga langyaw human sa pagronda sa Philippine Offshore Gaming Operators (Pogo) hub sa Barangay Agus, dakbayan sa Lapu-Lapu niadtong Agusto 31. Si National Bureau of Investigation (NBI) 7 Regional Director Doming Heredia atol sa press conference niadtong Martes, Septiyembre 3, nihatag og gibug-aton nga kinahanglang atubangon sa maong mga indibidwal ang mga kaso nga ipasaka batok kanila sa dili pa mobiya sa nasod. “Those who are charged have to face the cases filed against them before they can be deported. That’s the rule,” matod pa ni Heredia. Dugang niya nga ang mga gipasakahan og kaso kinahanglang magpabilin sa nasod aron atubangon ang mga kaso batok kanila. Ang mga Chinese, Burmese, Indonesian, Malaysian, ug Taiwanese national gi-turnover sa Bureau of Immigration (BI) aron matanggong sa buhatan sa Presidential Anti-Organized Crime Commission (Paocc) sa Pasay, City. Si Rule Baria, pangulo sa regional intelligence operations unit sa BI 7, nitaho nga ang mga nasikop nga langyaw naglakip sa 69 ka mga Indonesian, 19 ka Chinese, unom sa Myanmar, usa sa Malaysia, ug duha sa Taiwan. Sa koordinasyon sa Paocc ug sa Philippine Air Force, ang mga langyaw gidala pinaagi sa C-130 turboprop military aircraft Miyerkules sa hapon. Samtang si Baring Barnachea, Associate Regional Director sa NBI 7, niingon nga sugdan na nila ang dokumentasyon sa search warrant aron masusi ang mga device ug gadgets nga nadiskubre atol sa operasyon. “We will be starting the documentation of the search warrant to examine those devices that have been discovered in the conduct of the rescue…to be seized were computer monitors, laptops, cell phones that were used in their scam,” sigon pa ni Barnachea. Dugang pa niya nga ang mga script nga gigamit sa mga biktima sa scam gikan sa China, Malaysia, Indonesia, ug uban pang mga nasod susihon usab. “We will conduct a forensic examination on those devices. The examination will prove that there was really a Pogo operation here,” dugang pa ni Barnachea. Matod ni Heredia, ang tigpamaba sa Paocc nga si Yote Barnedo nikompirmar nga adunay mga kalihokan nga sama sa Pogo sa hotel tungod kay lailaing matang sa mga scam, sama sa gugma ug investment scam, ang makita base sa inisyal nga evaluation sa mga ebidensya. Ang operasyon sa Pogo hub sa Barangay Agus, Lapu-Lapu City namugna human sa reklamo sa illegal detention sa tulo ka mga Indonesian national nga nakaikyas sa lugar.",169 ka langyaw nalambigit sa Pogo gibiyahe sa Manila,https://www.sunstar.com.ph/superbalita-cebu/169-ka-langyaw-nalambigit-sa-pogo-gibiyahe-sa-manila
153,Dario V. Gil,"Sep 04, 2024","Dako ang alkanse sa mga mag-uuma nga nananom og repolyo sa bukirang barangay sa lungsod sa Dalaguete tungod sa subra nga produksiyon nga hinungdan sa pagtiurok sa presyo sa merkado sa Mantalungon. Ang Dalaguete giila nga vegetable basket sa Lalawigan sa Sugbo ug ang mga dagkong komprador gikan sa dakbayan ug ubang bahin sa Kabisay-an adto mamalit sa Mantalongon market. Si Rodrigo Antolin Roselyn, pangulo sa Municipal Agriculture and Natural Resources Office (Manro), nikompirmar niini nga sitwasyon dihang nahinabi sa Superbalita Cebu sa Miyerkules, Septiyembre 4, 2024. Matod ni Roselyn, ang hinungdan sa pagbarato mao ang nagdungan nga pag-ani sa repolyo ug gitumod sa merkado sa Mantalongon nga nagsubra ang supply. Dugang ni Roselyn, ang kilo sa repolyo naa sa tag P10, P9, ug P8 tungod sa kadaghan kon itandi sa standard nga presyo matag kilo nga makaginansya ang mag-uuma naa sa P20, P19 ug P18 ang kilo. Si Roselyn nagkanayon nga nitabang na sila og market sa maong mga repolyo sa mga dagkong buyers sa Bohol, Negros ug Leyte alang sa maayong presyo. Unang hitabo kini ning tuiga busa ang lokal nga kagamhanan sa Dalaguete nihatag og ayuda nga seedlings ug abuno ngadto sa mga apektadong mga mag-uuma sa repolyo. Ug karon may plano ang lungsod nga mopalit og makina nga dryer aron pagproseso nga ma-repack ug ma-stock ang repolyo kon modaghan ang supply ug ibaligya kini sa ubang dapit sa nasod nga nihit na ang suplay. Dugang ni Roselyn, ilang giingnan karon ang mga mag-uuma sa repolyo nga di sila magdungan og pananom aron di magdungan usab og ani. Ang mga mag-uuma nga apektado gikan sa Barangay Mantalongon, Ablayan, Katulohan, Caleriohan, Barrameda Barrera, ug Dugyan. MAG-UUMAUsa ka ka mag-uuma sa repolyo nga si Barrete Graceann Barretto Barrientos nga taga Mantalongon sa na-interview sa Superbalita Cebu nagkanayon nga P10,000 kapin ang iyang lugi sa ilaha karon nga harvest nga repolyo kay ang kilo tag P8 ug ang iyang halin sa 200 kilos nga repolyo naa lang sa P1,600.""Kay na pundo sa tulo ka adlaw, gipakyaw nalang og 400 pesos sa buyer. . "" asoy ni Barrientos, kinsa nidason nga standard nga kilo sa repolyo nga makaginansya naa sa tag P20 ang kilo sa komprador. Matod ni Barrientos nga may nangalata na sa iyang mga repolyo nga naa sa iyang uma sa Dumalan. Lakip sa ilang gasto mao ang labor, abuno ug pesticide moabot sa P14 mil sa igong gidakon sa umahan ni Barrientos. Moabot sa tulo ka buwan ang pag-atiman sa tanom una kini ma-harvest ug mabaligya.",Repolyo sa Dalaguete nanubra; P8/kilo na lang,https://www.sunstar.com.ph/superbalita-cebu/repolyo-sa-dalaguete-nanubra-p8kilo-na-lang
154,Arnold Y. Bustamante,"Sep 03, 2024","Gikatahong hitman sa usa ka drug personality nga giingong responsable sa pito ka shooting incident ubos sa hurisdiksiyon sa Mambaling police station ang nadakpan sa buy bust, Lunes sa gabii, Septiyembre 2, 2024 sa Sityo Badjawan, Barangay Mambaling, Cebu City. Ang dinakpan giila sa alyas nga MJ, 19, nga taga-Barangay Barrinuevo Jelly, Dakbayan sa Sugbo. Nakuha gikan kaniya ang mga pinakete nga adunay sud nga gituohang shabu nga motimbang ngadto sa 50 gramos nga adunay standard drug price nga P340,000. Lakip sa nasakmit sa mga operatiba sa Mambaling police station ubos sa pagdumala ni Police Major Mather Balatero Jr. , ang usa ka kalibre 45 nga pistola nga dunay upat ka mga bala. Matod ni Police Colonel Paul Alonsagay, hepe sa Cebu City Police Office nga sa pagkasikop sa maong suspek, pito ka mga kaso sa pagpamusil nga nahitabo sa dakbayan sa Sugbo ang nasulbad. Dugang ni Alonsagay nga nailhan na nila ang mastermind nga maoy nagsilbing middle man ug financier diin si MJ maoy tawgon kon adunay kiniy pabirahan nga personalidad nga wala makabayad sa illegal nga drugas, bugti sa suhol nga ihatag niini. MGA NAPATAY?Ang mga kaso sa pagpamusil diin gikataho nga si MJ maoy responsable naglakip nilang: Elyong Anonas, niadtong Hunyo 17, 2024 sa Sityo Micabaja, Barrinuevo Jelly; Genaro Barrios, niadtong Hunyo 30, 2024 sa Padilla St. , Barrinuevo Jelly; Bernard Agbon Barroga ug ang kaipon niini nga si Teofila Julve Ambayec niadtong Agusto 18, 2024, Sityo Micabaja, Barrinuevo Jelly diin ang mga biktima samtang natulog sulod sa ilang balay gi pukaw kinig pusil, ug patay diha-diha dayon si Bernard samtang nakalas usab sa sulod sa tambalanan si Teofila. Pagka Agusto 20, 2024 sa alas 3:48 sa kaadlawon si MJ sab ang gitudlo nga nagpusil kang Chris Bartolabac sa Sitio Lawis, Alaska, Mambaling nga adunay laing duha ka mga kauban ang suspek. Niadtong Agusto 22, 2024 sa alas 3:40 sa buntag sa Sityo Kahuyan, Barangay Mambaling gipusil patay si Melvin Bartolo Bartolome ug pagka alas 7 sa gabii sa susamang adlaw gipusil usab si Aniana Basa sa Sityo Badjawan, Mambaling. Samtang siya usab ang gitudlo nga responsable sa pagpusil ni Simon Aboc, sa Sityo San Juan Seawall, Barangay Mambaling niadtong Agusto 30, 2024.“As far as the group neutralized na sila but we still cannot discredit basin naa pay other members, of course with the help of the public we can assure to you they will not stand long, we will arrest them immediately,” matod ni Police Colonel Alonsagay. Sa pito ka kaso sa pagpamusil nga gipasangil kaniya lima lang matod pa ang iyang giangkon samtang ang duha binuhatan na sa iyang mga kauban nga unang nadakpan. Niadtong miaging semana nadakpan na sa Mambaling police station ang laing hitman nga menor ug usa ka alyas Roly nga taga Sityo Badjawan, Barangay Mambaling. Giingong ang ilang amo usa ka drug personality nga una na nga nadakpan sa kaso sa illegal nga drugas apan na release sa Cebu City Jail niadtong Enero 25, 2024. Sukad nga nakagawas iyang gipangsingil kadtong mga nakautang kaniya sa illegal nga drugas ug kon dili makabayad si MJ ug uban pa niining mga batan-on nga batabata maoy suguon og mangunay sa pagpatay ngadto sa ilang target. Subay sa pagkasikop ni MJ malaumon ang Mambaling police station nga mahunong na ang sunodsunod nga pagpamusil sa ilang hurisdiksyon. /","19 anyos nga ‘killer’, 7 na ang napatay",https://www.sunstar.com.ph/superbalita-cebu/19-anyos-nga-killer-7-na-ang-napatay
