title,context,question,answer,article_id,qa_id
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang state auditors mipasidaan sa gasto nga P5. 3 milyon sa syudad para sa mga repairs sa satellite office, nga giingong wala’y pormal nga lease agreement uban sa MCWD",Tagpila ang gasto nga gipahibalo sa mga state auditors para sa mga repairs?,P5. 3 milyon,333,4o-00333-003
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang state auditors mipasidaan sa gasto nga P5. 3 milyon sa syudad para sa mga repairs sa satellite office, nga giingong wala’y pormal nga lease agreement uban sa MCWD",Unsa ang gipakita nga wala'y formal nga gikasabutan sa MCWD?,lease agreement,333,4o-00333-004
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang satellite office, nga naglangkob sa daghang departamento sa syudad lakip na ang Division of the Welfare of the Urban Poor ug ang City Environment and Natural Resources Office, nag-operate nga walay kontrata tungod sa mga dili pagsinabtanay sa monthly rental rates",Ngano nga walay kontrata ang satellite office?,mga dili pagsinabtanay sa monthly rental rates,333,4o-00333-005
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang syudad mitanyag og P200,000 kada buwan, samtang ang MCWD mitubag og P70,000",Pila ang mitanyag ang syudad kada buwan para sa rent?,"P200,000",333,4o-00333-006
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang syudad mitanyag og P200,000 kada buwan, samtang ang MCWD mitubag og P70,000",Pila ang gitinguha sa MCWD kada buwan nga abang?,"P70,000",333,4o-00333-007
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"""We are now discussing a one-year contract with MCWD,"" Abalayan stated. ""Initially, Chairman Abarca has agreed to the extension, contingent on a formal contract,"" matod sa Acting Mayor",Kinsa ang niuyon sa one-year extension contingent on a formal contract?,Chairman Abarca,333,4o-00333-008
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Si Range Abarca III, Chairman sa Board of Directors sa MCWD, nagkompirma sa progreso sa mga negosasyon, nag-ila nga posibleng mopirma sa kontrata human sa Agosto 2024, nga giatangan pa og legal review ug pag-aproba sa board",Kinsa ang Chairman sa Board of Directors sa MCWD?,Range Abarca III,333,4o-00333-009
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,Gidugang ni Abalayan nga ang bag-ong kasabutan maglakip og bayad para sa mga wala nabayri nga abang sa miaging tuig,Unsa ang maglakip ang bag-ong kasabutan sumala ni Abalayan?,bayad para sa mga wala nabayri nga abang sa miaging tuig,333,4o-00333-010
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,Gidugang ni Abalayan nga ang bag-ong kasabutan maglakip og bayad para sa mga wala nabayri nga abang sa miaging tuig,Asa niapil sa bag-ong kasabutan ang bayran?,mga wala nabayri nga abang sa miaging tuig,333,4o-00333-011
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang Acting Mayor misugod niining mga dayalugo pag-asumir niya sa opisina niadtong Mayo 10, 2024, aron pagtagad sa lain-laing mga isyu tali sa syudad ug MCWD",Kanus-a nagsugod sa opisina ang Acting Mayor alang niining mga dayalugo?,"Mayo 10, 2024",333,4o-00333-012
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang Acting Mayor misugod niining mga dayalugo pag-asumir niya sa opisina niadtong Mayo 10, 2024, aron pagtagad sa lain-laing mga isyu tali sa syudad ug MCWD",Unsa ang giatubang nga mga isyu sa Acting Mayor?,lain-laing mga isyu tali sa syudad ug MCWD,333,4o-00333-013
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,Gipadayag ni Abarca ang iyang pagpasalamat sa mga paningkamot ni Abalayan sa pag-usab sa mga negosasyon bisan pa sa bag-ong mga tensiyon tali sa duha ka entidad,Unsa ang gipadayag ni Abarca kabahin sa paningkamot ni Abalayan?,pagpasalamat,333,4o-00333-014
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang duha ka partido nagtrabaho aron sa pag-finalize sa kasabutan, nga magpaseguro sa padayon nga operasyon sa satellite office samtang gitagad ang mga audit concerns nga gipasiugda sa COA",Unsa ang gipasiugda sa COA nga gitagad sa kasabutan?,mga audit concerns,333,4o-00333-015
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,Gipadayag ni Abarca ang iyang pagpasalamat sa mga paningkamot ni Abalayan sa pag-usab sa mga negosasyon bisan pa sa bag-ong mga tensiyon tali sa duha ka entidad,Unsa ang giatubang nga mga balakid ni Abalayan sa pag-usab sa mga negosasyon?,bag-ong mga tensiyon tali sa duha ka entidad,333,4o-00333-016
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Si Acting Mayor Jhonnylou Ghen Abalayan niingon sa press conference niadtong Huwebes, Hulyo 25, 2024, nga ang syudad padayon pang nakigsabot sa MCWD",Kanus-a gihatag ang press conference sa Acting Mayor?,"Hulyo 25, 2024",333,4o-00333-017
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Si Range Abarca III, Chairman sa Board of Directors sa MCWD, nagkompirma sa progreso sa mga negosasyon, nag-ila nga posibleng mopirma sa kontrata human sa Agosto 2024, nga giatangan pa og legal review ug pag-aproba sa board",Unsa ang hulat nilang pagtapos mahitungod sa kontrata sa Agosto 2024?,legal review ug pag-aproba sa board,333,4o-00333-018
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,Gidugang ni Abalayan nga ang bag-ong kasabutan maglakip og bayad para sa mga wala nabayri nga abang sa miaging tuig,Unsa ang usa sa mga kinahanglan bayran sa bag-ong kasabutan?,wala nabayri nga abang sa miaging tuig,333,4o-00333-019
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Ang syudad mitanyag og P200,000 kada buwan, samtang ang MCWD mitubag og P70,000",Unsa ang monthly rental rate proposal sa city hall?,"P200,000",333,4o-00333-020
'Carina' nakagawas sa PAR,"Nakagawas na sa Philippine area of responsibility (PAR) ang bagyong Carina, alas 6:20 sa buntag, Huwebes, Hulyo 25, 2024",Kanos-a nakagawas sa PAR ang bagyong Carina?,"alas 6:20 sa buntag, Huwebes, Hulyo 25, 2024",334,4o-00334-001
'Carina' nakagawas sa PAR,"Kini ang taho ni Veronica Barcelosa Philippine Atmospheric, Geophysical and Astronomical Services Administration (Pagasa) ",Kinsa ang nagtaho bahin sa pag-ikyas ni bagyong Carina sa PAR?,Veronica Barcelosa,334,4o-00334-002
'Carina' nakagawas sa PAR,ang probinsya sa Batanes nagpabilin nga ubos sa tropical cyclone warning signal no. 1,Unsa nga signal warning ang nagpabilin sa Batanes?,tropical cyclone warning signal no. 1,334,4o-00334-003
'Carina' nakagawas sa PAR,"“Also naghahatak pa ito ng habagat kaya maulan pa rin. Asahan natin moderate to intense rain sa may western section ng Luzon (within the day),” matod ni Barcelo",Asa dapit sa Luzon ang asahan og moderate to intense rain?,western section ng Luzon,334,4o-00334-004
'Carina' nakagawas sa PAR,Si Barcelo niingon nga ang Pagasa wala pay namonitor nga sistema sa panahon nga makadani ug hulga sa nasod,Giunsa pagdeskribe ni Barcelo ang kasamtangang panahon nga hulga sa nasod?,wala pay namonitor nga sistema sa panahon nga makadani ug hulga sa nasod,334,4o-00334-005
'Carina' nakagawas sa PAR,ang National Disaster Risk Reduction and Management Council (NDRRMC) miklaro nga ang walo nga naulat nga mga namatay tungod sa kombinasyon sa habagat ug tropical cyclone Butchoy sukad sa miaging semana,Pila ang namatay tungod sa kombinasyon sa habagat ug tropical cyclone Butchoy?,walo,334,4o-00334-006
'Carina' nakagawas sa PAR,"Naigo sa bagyong Carina ang nagkalainlaing dapit sa Luzon, lakip na ang tibuok National Capital Region, Cainta sa Rizal ug ang probinsya sa Cavite, diin gipaubos sa state of calamity",Asa dapit gipaubos sa state of calamity tungod sa bagyong Carina?,Cavite,334,4o-00334-007
'Carina' nakagawas sa PAR,"usa ka mabdos ga babaye ug tulo ka mga bata ang namatay tungod sa usa ka landslide sa Agoncillo, lalawigan Batangas",Unsa ang hinungdan sa pagkamatay sa mabdos nga babaye ug tulo ka bata sa Batangas?,usa ka landslide,334,4o-00334-008
'Carina' nakagawas sa PAR,"usa ka mabdos ga babaye ug tulo ka mga bata ang namatay tungod sa usa ka landslide sa Agoncillo, lalawigan Batangas",Pila ka mga bata ang naapil sa pagkamatay sa Batangas?,tulo,334,4o-00334-009
'Carina' nakagawas sa PAR,"Ang pagbaha sa nagkalainlaing komunidad sa Metro hinayhinay nang mikunhod sugod sa buntag sa Huwebes, Hulyo 25, nga ang mga pamilyang namakwit ug namalik sa ilang pinuy-anan nga mobalik sa ilang mga pinuy-anan",Kanus-a nagsugod ug mikunhod ang pagbaha sa Metro Manila?,"sa buntag sa Huwebes, Hulyo 25",334,4o-00334-010
'Carina' nakagawas sa PAR,mga pamilyang namakwit ug namalik sa ilang pinuy-anan nga mobalik sa ilang mga pinuy-anan,Unsa ang gibuhat sa mga pamilyang namakwit gikan sa pagbaha sa Metro Manila?,namalik sa ilang pinuy-anan,334,4o-00334-011
'Carina' nakagawas sa PAR,"Ang North Luzon Expressway, nga dili malatas halos tibuok adlaw sa Miyerkules, kay mahimo nang malatas sugod sa Miyerkules sa gabii",Kanos-a mahimo nang malatas ang North Luzon Expressway?,sugod sa Miyerkules sa gabii,334,4o-00334-012
'Carina' nakagawas sa PAR,"Ang North Luzon Expressway, nga dili malatas halos tibuok adlaw sa Miyerkules, kay mahimo nang malatas sugod sa Miyerkules sa gabii",Ngano nga dili malatas ang North Luzon Expressway sa Miyerkules?,dili malatas halos tibuok adlaw sa Miyerkules,334,4o-00334-013
'Carina' nakagawas sa PAR,Ang Marikina River usab mikunhod na ngadto sa first alarm,Unsa ang kahimtang sa Marikina River karon?,mikunhod na ngadto sa first alarm,334,4o-00334-014
'Carina' nakagawas sa PAR,"Nakagawas na sa Philippine area of responsibility (PAR) ang bagyong Carina, alas 6:20 sa buntag, Huwebes, Hulyo 25, 2024","Unsa ang pagbuhat ni bagyong Carina sa adlaong Hulyo 25, 2024?",nakagawas sa Philippine area of responsibility (PAR),334,4o-00334-015
'Carina' nakagawas sa PAR,"Bisan pa niini, ang probinsya sa Batanes nagpabilin nga ubos sa tropical cyclone warning signal no. 1",Asa nga probinsya nagpabilin nga aduna pay tropical cyclone warning signal human migawas si bagyong Carina?,Batanes,334,4o-00334-016
'Carina' nakagawas sa PAR,"Sa Martes sa gabii, atol sa pagsugod sa kombinasyon sa mga epekto sa Carina ug habagat, usa ka mabdos ga babaye ug tulo ka mga bata ang namatay tungod sa usa ka landslide sa Agoncillo, lalawigan Batangas",Asa nahitabo ang landslide nga nakapatay sa usa ka mabdos nga babaye ug tulo ka bata?,"sa Agoncillo, lalawigan Batangas",334,4o-00334-017
'Carina' nakagawas sa PAR,"Sa Martes sa gabii, atol sa pagsugod sa kombinasyon sa mga epekto sa Carina ug habagat, usa ka mabdos ga babaye ug tulo ka mga bata ang namatay tungod sa usa ka landslide sa Agoncillo, lalawigan Batangas","Kanos-a nahitabo ang landslide sa Agoncillo, Batangas?",sa Martes sa gabii,334,4o-00334-018
